"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Cumberland County, ME"	"23005"	34	274920	12.4
	"Kennebec County, ME"	"23011"	24	120303	19.9
	"Knox County, ME"	"23013"	10	40514	24.7 (Unreliable)
	"Penobscot County, ME"	"23019"	14	148814	9.4 (Unreliable)
	"York County, ME"	"23031"	17	197408	8.6 (Unreliable)
	"Allegany County, MD"	"24001"	11	74408	14.8 (Unreliable)
	"Anne Arundel County, MD"	"24003"	65	513259	12.7
	"Baltimore County, MD"	"24005"	105	784371	13.4
	"Carroll County, MD"	"24013"	19	163915	11.6 (Unreliable)
	"Cecil County, MD"	"24015"	18	94809	19.0 (Unreliable)
	"Charles County, MD"	"24017"	13	135601	9.6 (Unreliable)
	"Frederick County, MD"	"24021"	12	217776	5.5 (Unreliable)
	"Harford County, MD"	"24025"	26	234849	11.1
	"Howard County, MD"	"24027"	14	265919	5.3 (Unreliable)
	"Montgomery County, MD"	"24031"	37	914991	4.0
	"Prince George's County, MD"	"24033"	60	845950	7.1
	"Washington County, MD"	"24043"	12	139423	8.6 (Unreliable)
	"Worcester County, MD"	"24047"	10	49994	20.0 (Unreliable)
	"Baltimore city, MD"	"24510"	234	624222	37.5
	"Barnstable County, MA"	"25001"	31	224264	13.8
	"Berkshire County, MA"	"25003"	14	133076	10.5 (Unreliable)
	"Bristol County, MA"	"25005"	99	545988	18.1
	"Essex County, MA"	"25009"	87	729783	11.9
	"Hampden County, MA"	"25013"	46	460841	10.0
	"Hampshire County, MA"	"25015"	15	155019	9.7 (Unreliable)
	"Middlesex County, MA"	"25017"	123	1459232	8.4
	"Norfolk County, MA"	"25021"	58	652630	8.9
	"Plymouth County, MA"	"25023"	34	485010	7.0
	"Suffolk County, MA"	"25025"	108	691272	15.6
	"Worcester County, MA"	"25027"	50	777855	6.4
	"Allegan County, MI"	"26005"	10	110225	9.1 (Unreliable)
	"Berrien County, MI"	"26021"	10	159742	6.3 (Unreliable)
	"Calhoun County, MI"	"26025"	27	139443	19.4
	"Genesee County, MI"	"26049"	48	442534	10.8
	"Grand Traverse County, MI"	"26055"	11	82768	13.3 (Unreliable)
	"Ingham County, MI"	"26065"	27	283586	9.5
	"Isabella County, MI"	"26073"	11	67067	16.4 (Unreliable)
	"Jackson County, MI"	"26075"	19	162140	11.7 (Unreliable)
	"Kalamazoo County, MI"	"26077"	21	242505	8.7
	"Kent County, MI"	"26081"	40	589554	6.8
	"Macomb County, MI"	"26099"	104	823418	12.6
	"Monroe County, MI"	"26115"	15	151117	9.9 (Unreliable)
	"Muskegon County, MI"	"26121"	15	172771	8.7 (Unreliable)
	"Oakland County, MI"	"26125"	84	1203812	7.0
	"Ottawa County, MI"	"26139"	14	253048	5.5 (Unreliable)
	"Saginaw County, MI"	"26145"	15	208489	7.2 (Unreliable)
	"St. Clair County, MI"	"26147"	11	168457	6.5 (Unreliable)
	"Shiawassee County, MI"	"26155"	10	73034	13.7 (Unreliable)
	"Van Buren County, MI"	"26159"	10	77241	12.9 (Unreliable)
	"Washtenaw County, MI"	"26161"	11	339422	3.2 (Unreliable)
	"Wayne County, MI"	"26163"	198	1983830	10.0
	"Anoka County, MN"	"27003"	15	316643	4.7 (Unreliable)
	"Dakota County, MN"	"27037"	10	377143	2.7 (Unreliable)
	"Hennepin County, MN"	"27053"	72	1118756	6.4
	"Ramsey County, MN"	"27123"	39	501104	7.8
	"St. Louis County, MN"	"27137"	13	199304	6.5 (Unreliable)
	"Washington County, MN"	"27163"	11	215937	5.1 (Unreliable)
	"Hancock County, MS"	"28045"	15	46717	32.1 (Unreliable)
	"Harrison County, MS"	"28047"	34	195971	17.3
	"Jackson County, MS"	"28059"	26	136565	19.0
	"Lauderdale County, MS"	"28075"	11	78055	14.1 (Unreliable)
	"Pearl River County, MS"	"28109"	11	50624	21.7 (Unreliable)
	"Boone County, MO"	"29019"	14	145348	9.6 (Unreliable)
	"Clay County, MO"	"29047"	13	196718	6.6 (Unreliable)
	"Greene County, MO"	"29077"	41	253130	16.2
	"Jackson County, MO"	"29095"	76	658307	11.5
	"Jefferson County, MO"	"29099"	22	207829	10.6
	"St. Charles County, MO"	"29183"	28	319729	8.8
	"St. Francois County, MO"	"29187"	18	60829	29.6 (Unreliable)
	"St. Louis County, MO"	"29189"	87	1007813	8.6
	"St. Louis city, MO"	"29510"	51	330988	15.4
	"Flathead County, MT"	"30029"	10	81247	12.3 (Unreliable)
	"Missoula County, MT"	"30063"	13	100934	12.9 (Unreliable)
	"Yellowstone County, MT"	"30111"	15	135441	11.1 (Unreliable)
	"Douglas County, NE"	"31055"	22	482075	4.6
	"Clark County, NV"	"32003"	285	1662773	17.1
	"Nye County, NV"	"32023"	11	37287	29.5 (Unreliable)
	"Washoe County, NV"	"32031"	52	382777	13.6
	"Carson City, NV"	"32510"	13	55995	23.2 (Unreliable)
	"Hillsborough County, NH"	"33011"	36	394428	9.1
	"Merrimack County, NH"	"33013"	17	143841	11.8 (Unreliable)
	"Rockingham County, NH"	"33015"	32	289103	11.1
	"Strafford County, NH"	"33017"	11	117926	9.3 (Unreliable)
	"Atlantic County, NJ"	"34001"	44	267723	16.4
	"Bergen County, NJ"	"34003"	48	893378	5.4
	"Burlington County, NJ"	"34005"	33	446548	7.4
	"Camden County, NJ"	"34007"	70	510137	13.7
	"Cumberland County, NJ"	"34011"	17	149837	11.3 (Unreliable)
	"Essex County, NJ"	"34013"	66	791305	8.3
	"Gloucester County, NJ"	"34015"	31	271714	11.4
	"Hudson County, NJ"	"34017"	43	614607	7.0
	"Mercer County, NJ"	"34021"	19	361248	5.3 (Unreliable)
	"Middlesex County, NJ"	"34023"	37	781582	4.7
	"Monmouth County, NJ"	"34025"	26	628605	4.1
	"Morris County, NJ"	"34027"	20	483997	4.1
	"Ocean County, NJ"	"34029"	37	551262	6.7
	"Passaic County, NJ"	"34031"	27	493981	5.5
	"Somerset County, NJ"	"34035"	11	310424	3.5 (Unreliable)
	"Sussex County, NJ"	"34037"	12	149906	8.0 (Unreliable)
	"Union County, NJ"	"34039"	23	526916	4.4
	"Bernalillo County, NM"	"35001"	128	600449	21.3
	"Chaves County, NM"	"35005"	13	61478	21.1 (Unreliable)
	"Dona Ana County, NM"	"35013"	21	184939	11.4
	"Rio Arriba County, NM"	"35039"	19	40342	47.1 (Unreliable)
	"Santa Fe County, NM"	"35049"	21	136391	15.4
	"Valencia County, NM"	"35061"	15	69021	21.7 (Unreliable)
	"Bronx County, NY"	"36005"	140	1358963	10.3
	"Kings County, NY"	"36047"	228	2459094	9.3
	"Nassau County, NY"	"36059"	12	1337964	0.9 (Unreliable)
	"New York County, NY"	"36061"	160	1569947	10.2
	"Queens County, NY"	"36081"	117	2198516	5.3
	"Richmond County, NY"	"36085"	50	456846	10.9
	"Suffolk County, NY"	"36103"	17	1478215	1.2 (Unreliable)
	"Brunswick County, NC"	"37019"	13	83327	15.6 (Unreliable)
	"Buncombe County, NC"	"37021"	37	218139	17.0
	"Burke County, NC"	"37023"	20	89394	22.4
	"Cabarrus County, NC"	"37025"	19	146429	13.0 (Unreliable)
	"Caldwell County, NC"	"37027"	16	79471	20.1 (Unreliable)
	"Carteret County, NC"	"37031"	13	62127	20.9 (Unreliable)
	"Catawba County, NC"	"37035"	21	147016	14.3
	"Craven County, NC"	"37049"	15	93548	16.0 (Unreliable)
	"Cumberland County, NC"	"37051"	23	307629	7.5
	"Dare County, NC"	"37055"	10	33196	30.1 (Unreliable)
	"Davidson County, NC"	"37057"	28	154179	18.2
	"Durham County, NC"	"37063"	17	238376	7.1 (Unreliable)
	"Forsyth County, NC"	"37067"	28	319997	8.8
	"Gaston County, NC"	"37071"	41	191646	21.4
	"Guilford County, NC"	"37081"	42	440597	9.5
	"Henderson County, NC"	"37089"	21	95797	21.9
	"Iredell County, NC"	"37097"	22	136514	16.1
	"Johnston County, NC"	"37101"	11	140055	7.9 (Unreliable)
	"Lincoln County, NC"	"37109"	10	68267	14.6 (Unreliable)
	"Mecklenburg County, NC"	"37119"	49	772949	6.3
	"Moore County, NC"	"37125"	10	79475	12.6 (Unreliable)
	"New Hanover County, NC"	"37129"	29	178362	16.3
	"Orange County, NC"	"37135"	10	119320	8.4 (Unreliable)
	"Pitt County, NC"	"37147"	13	144486	9.0 (Unreliable)
	"Randolph County, NC"	"37151"	11	134732	8.2 (Unreliable)
	"Richmond County, NC"	"37153"	11	46227	23.8 (Unreliable)
	"Rowan County, NC"	"37159"	24	132202	18.2
	"Rutherford County, NC"	"37161"	10	64692	15.5 (Unreliable)
	"Wake County, NC"	"37183"	33	716336	4.6
	"Brown County, OH"	"39015"	12	43995	27.3 (Unreliable)
	"Butler County, OH"	"39017"	28	346655	8.1
	"Clark County, OH"	"39023"	26	141380	18.4
	"Clermont County, OH"	"39025"	31	187281	16.6
	"Clinton County, OH"	"39027"	12	41557	28.9 (Unreliable)
	"Cuyahoga County, OH"	"39035"	140	1346714	10.4
	"Fairfield County, OH"	"39045"	15	136074	11.0 (Unreliable)
	"Franklin County, OH"	"39049"	86	1099603	7.8
	"Greene County, OH"	"39057"	20	155442	12.9
	"Hamilton County, OH"	"39061"	97	817306	11.9
	"Jefferson County, OH"	"39081"	10	71774	13.9 (Unreliable)
	"Lake County, OH"	"39085"	19	227829	8.3 (Unreliable)
	"Licking County, OH"	"39089"	17	155264	10.9 (Unreliable)
	"Lorain County, OH"	"39093"	18	292125	6.2 (Unreliable)
	"Lucas County, OH"	"39095"	35	451255	7.8
	"Mahoning County, OH"	"39099"	19	249825	7.6 (Unreliable)
	"Montgomery County, OH"	"39113"	139	549713	25.3
	"Muskingum County, OH"	"39119"	14	85589	16.4 (Unreliable)
	"Portage County, OH"	"39133"	15	156774	9.6 (Unreliable)
	"Scioto County, OH"	"39145"	16	77788	20.6 (Unreliable)
	"Stark County, OH"	"39151"	21	376663	5.6
	"Summit County, OH"	"39153"	67	545037	12.3
	"Trumbull County, OH"	"39155"	43	219540	19.6
	"Warren County, OH"	"39165"	11	188904	5.8 (Unreliable)
	"Canadian County, OK"	"40017"	13	96101	13.5 (Unreliable)
	"Cherokee County, OK"	"40021"	10	44437	22.5 (Unreliable)
	"Cleveland County, OK"	"40027"	14	225447	6.2 (Unreliable)
	"Creek County, OK"	"40037"	17	67843	25.1 (Unreliable)
	"Grady County, OK"	"40051"	12	48167	24.9 (Unreliable)
	"Muskogee County, OK"	"40101"	16	69592	23.0 (Unreliable)
	"Oklahoma County, OK"	"40109"	93	677742	13.7
	"Rogers County, OK"	"40131"	11	79069	13.9 (Unreliable)
	"Tulsa County, OK"	"40143"	101	566140	17.8
	"Clackamas County, OR"	"41005"	24	355758	6.7
	"Jackson County, OR"	"41029"	29	192185	15.1
