"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Knox County, TN"	"47093"	60	389443	15.4
	"Rutherford County, TN"	"47149"	16	196518	8.1 (Unreliable)
	"Sevier County, TN"	"47155"	11	75035	14.7 (Unreliable)
	"Shelby County, TN"	"47157"	52	902634	5.8
	"Sullivan County, TN"	"47163"	13	153160	8.5 (Unreliable)
	"Sumner County, TN"	"47165"	13	136097	9.6 (Unreliable)
	"Bell County, TX"	"48027"	13	249671	5.2 (Unreliable)
	"Bexar County, TX"	"48029"	112	1446755	7.7
	"Brazoria County, TX"	"48039"	22	255246	8.6
	"Cameron County, TX"	"48061"	11	350194	3.1 (Unreliable)
	"Collin County, TX"	"48085"	26	563565	4.6
	"Dallas County, TX"	"48113"	211	2250326	9.4
	"Denton County, TX"	"48121"	32	487617	6.6
	"Ector County, TX"	"48135"	19	122199	15.5 (Unreliable)
	"El Paso County, TX"	"48141"	57	696446	8.2
	"Fort Bend County, TX"	"48157"	13	397943	3.3 (Unreliable)
	"Galveston County, TX"	"48167"	34	260096	13.1
	"Gregg County, TX"	"48183"	11	112767	9.8 (Unreliable)
	"Harris County, TX"	"48201"	317	3536682	9.0
	"Hidalgo County, TX"	"48215"	16	610520	2.6 (Unreliable)
	"Jefferson County, TX"	"48245"	27	250146	10.8
	"Johnson County, TX"	"48251"	10	133399	7.5 (Unreliable)
	"Lubbock County, TX"	"48303"	17	249407	6.8 (Unreliable)
	"Montgomery County, TX"	"48339"	32	326466	9.8
	"Orange County, TX"	"48361"	16	83813	19.1 (Unreliable)
	"Potter County, TX"	"48375"	14	115427	12.1 (Unreliable)
	"Smith County, TX"	"48423"	12	181107	6.6 (Unreliable)
	"Tarrant County, TX"	"48439"	127	1524249	8.3
	"Travis County, TX"	"48453"	91	848090	10.7
	"Wichita County, TX"	"48485"	17	130761	13.0 (Unreliable)
	"Williamson County, TX"	"48491"	10	290112	3.4 (Unreliable)
	"Carbon County, UT"	"49007"	11	20114	54.7 (Unreliable)
	"Davis County, UT"	"49011"	34	249676	13.6
	"Salt Lake County, UT"	"49035"	128	918152	13.9
	"Utah County, UT"	"49049"	35	397190	8.8
	"Washington County, UT"	"49053"	12	99274	12.1 (Unreliable)
	"Weber County, UT"	"49057"	25	203045	12.3
	"Chittenden County, VT"	"50007"	15	149639	10.0 (Unreliable)
	"Arlington County, VA"	"51013"	10	190137	5.3 (Unreliable)
	"Chesterfield County, VA"	"51041"	13	270741	4.8 (Unreliable)
	"Fairfax County, VA"	"51059"	37	998613	3.7
	"Henrico County, VA"	"51087"	26	270608	9.6
	"Prince William County, VA"	"51153"	21	311749	6.7
	"Pulaski County, VA"	"51155"	14	34817	40.2 (Unreliable)
	"Wythe County, VA"	"51197"	11	27710	39.7 (Unreliable)
	"Chesapeake city, VA"	"51550"	10	203970	4.9 (Unreliable)
	"Newport News city, VA"	"51700"	16	183061	8.7 (Unreliable)
	"Norfolk city, VA"	"51710"	19	241704	7.9 (Unreliable)
	"Richmond city, VA"	"51760"	29	197513	14.7
	"Roanoke city, VA"	"51770"	22	93956	23.4
	"Virginia Beach city, VA"	"51810"	28	430183	6.5
	"Clallam County, WA"	"53009"	10	65777	15.2 (Unreliable)
	"Clark County, WA"	"53011"	39	366405	10.6
	"Cowlitz County, WA"	"53015"	18	94325	19.1 (Unreliable)
	"King County, WA"	"53033"	195	1758685	11.1
	"Kitsap County, WA"	"53035"	22	238129	9.2
	"Okanogan County, WA"	"53047"	11	38865	28.3 (Unreliable)
	"Pierce County, WA"	"53053"	67	728091	9.2
	"Skagit County, WA"	"53057"	10	105563	9.5 (Unreliable)
	"Snohomish County, WA"	"53061"	73	631526	11.6
	"Spokane County, WA"	"53063"	52	427107	12.2
	"Thurston County, WA"	"53067"	20	216313	9.2
	"Whatcom County, WA"	"53073"	22	174904	12.6
	"Yakima County, WA"	"53077"	14	223402	6.3 (Unreliable)
	"Berkeley County, WV"	"54003"	14	80875	17.3 (Unreliable)
	"Cabell County, WV"	"54011"	18	95741	18.8 (Unreliable)
	"Fayette County, WV"	"54019"	10	46935	21.3 (Unreliable)
	"Harrison County, WV"	"54033"	18	67778	26.6 (Unreliable)
	"Kanawha County, WV"	"54039"	26	196422	13.2
	"Logan County, WV"	"54045"	11	37093	29.7 (Unreliable)
	"Mercer County, WV"	"54055"	16	62016	25.8 (Unreliable)
	"Dane County, WI"	"55025"	26	441623	5.9
	"Milwaukee County, WI"	"55079"	128	939854	13.6
	"Racine County, WI"	"55101"	18	189833	9.5 (Unreliable)
	"Waukesha County, WI"	"55133"	17	370051	4.6 (Unreliable)
"Total"			23518	287625193	8.2
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Age Group: All"
"Gender: All"
"Hispanic Origin: All"
"ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics), X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified), X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified), X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system), X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances), X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics), X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified), X62"
